# Reading C:/questasim64_10.4c/tcl/vsim/pref.tcl
# //  Questa Sim-64
# //  Version 10.4c win64 Jul 20 2015
# //
# //  Copyright 1991-2015 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  THIS WORK CONTAINS TRADE SECRET AND PROPRIETARY INFORMATION
# //  WHICH IS THE PROPERTY OF MENTOR GRAPHICS CORPORATION OR ITS
# //  LICENSORS AND IS SUBJECT TO LICENSE TERMS.
# //  THIS DOCUMENT CONTAINS TRADE SECRETS AND COMMERCIAL OR FINANCIAL
# //  INFORMATION THAT ARE PRIVILEGED, CONFIDENTIAL, AND EXEMPT FROM
# //  DISCLOSURE UNDER THE FREEDOM OF INFORMATION ACT, 5 U.S.C. SECTION 552.
# //  FURTHERMORE, THIS INFORMATION IS PROHIBITED FROM DISCLOSURE UNDER
# //  THE TRADE SECRETS ACT, 18 U.S.C. SECTION 1905.
# //
project open C:/Users/dpl19/OneDrive/Desktop/EE552/NOC/NOC
### output_mem_tb.intf[2].Receive Stalled(                   4) @            110000000
# --------Finished recieving in module output_mem_tb.db2. Simulation time =           110000000. Final result =                 7.
# Execution cycle=         17, Cycle Time=          4, 
# 
#     Average CycleTime=6.470588, Average Throughput=0.154545
# data_bucket starts output_mem_tb.db3                  110
# Start recieving in module output_mem_tb.db3. Simulation time =           110000000
# Execution cycle=         17, Cycle Time=          4, 
# 
#     Average CycleTime=6.470588, Average Throughput=0.154545
# data_bucket starts output_mem_tb.db2                  110
# Start recieving in module output_mem_tb.db2. Simulation time =           110000000
# write data =   59 @ addr =   7
# 
# read data =   45 @ addr =   8
# 
# read data =   14 @ addr =   8
# 
# =======================================Receive ts1 residue and ts2 conv out
# write residue =   59 @ addr =           8 for ts2
# 
# output spike = 0 @ addr =           8 for ts2
# 
### output_mem_tb.intf[3].Receive Stalled(                   4) @            114000000
# --------Finished recieving in module output_mem_tb.db3. Simulation time =           114000000. Final result =                 0.
### output_mem_tb.intf[2].Receive Stalled(                   4) @            114000000
# --------Finished recieving in module output_mem_tb.db2. Simulation time =           114000000. Final result =                 8.
# Execution cycle=         18, Cycle Time=          4, 
# 
#     Average CycleTime=6.333333, Average Throughput=0.157895
# data_bucket starts output_mem_tb.db3                  114
# Start recieving in module output_mem_tb.db3. Simulation time =           114000000
# Execution cycle=         18, Cycle Time=          4, 
# 
#     Average CycleTime=6.333333, Average Throughput=0.157895
# data_bucket starts output_mem_tb.db2                  114
# Start recieving in module output_mem_tb.db2. Simulation time =           114000000
# write data =   59 @ addr =   8
# 
### output_mem_tb.om.done.Send Stalled(                   4) @            116000000
### output_mem_tb.intf[6].Receive Stalled(                 118) @            118000000
# --------Finished recieving in module output_mem_tb.db6. Simulation time =           118000000. Final result =                 1.
### output_mem_tb.om.out_done.Receive Stalled(                  79) @            118000000
# Execution cycle=          1, Cycle Time=        118, 
# 
#     Average CycleTime=118.000000, Average Throughput=0.008475
# data_bucket starts output_mem_tb.db6                  118
# Start recieving in module output_mem_tb.db6. Simulation time =           118000000
### output_mem_tb.intf[5].Receive Stalled(                  42) @            120000000
# --------Finished recieving in module output_mem_tb.db5. Simulation time =           120000000. Final result =                 1.
### output_mem_tb.intf[4].Receive Stalled(                  42) @            120000000
# --------Finished recieving in module output_mem_tb.db4. Simulation time =           120000000. Final result =                 1.
### output_mem_tb.intf[1].Receive Stalled(                 120) @            120000000
# --------Finished recieving in module output_mem_tb.db1. Simulation time =           120000000. Final result =                 1.
# Execution cycle=          3, Cycle Time=         42, 
# 
#     Average CycleTime=40.000000, Average Throughput=0.025000
# data_bucket starts output_mem_tb.db5                  120
# Start recieving in module output_mem_tb.db5. Simulation time =           120000000
# Execution cycle=          3, Cycle Time=         42, 
# 
#     Average CycleTime=40.000000, Average Throughput=0.025000
# data_bucket starts output_mem_tb.db4                  120
# Start recieving in module output_mem_tb.db4. Simulation time =           120000000
# Execution cycle=          2, Cycle Time=        120, 
# 
#     Average CycleTime=60.000000, Average Throughput=0.016667
# data_bucket starts output_mem_tb.db1                  120
# Start recieving in module output_mem_tb.db1. Simulation time =           120000000
# ** Note: $stop    : submodules_tb.sv(1085)
#    Time: 136 ns  Iteration: 0  Instance: /output_mem_tb
# Break in Module output_mem_tb at submodules_tb.sv line 1085


